Strategy,Query_ID,Full_SSA_Time,Full_PRA_Time,Hybrid_SSA_Time,Hybrid_PRA_Time,Candidates,Pruning_Ratio,Recall_HSSA,Recall_HPRA,FullSSA_Count,HSSA_Count,HPRA_Count
GlobalAvg c=30.0,4267,0.3766591548919678,0.38242340087890625,0.20778656005859375,0.19762897491455078,300,0.5081967213114754,1.0,1.0,0,0,0
GlobalAvg c=30.0,6363,0.378953218460083,0.3980906009674072,0.19945764541625977,0.18663859367370605,300,0.5081967213114754,1.0,1.0,0,0,0
GlobalAvg c=30.0,867,0.3775186538696289,0.3721768856048584,0.19401836395263672,0.22054815292358398,300,0.5081967213114754,1.0,1.0,0,0,0
GlobalAvg c=30.0,4210,0.3737609386444092,0.40218639373779297,0.21820068359375,0.19548702239990234,300,0.5081967213114754,0.0,0.0,1,0,0
UnionWin c=1.5,7523,0.40540266036987305,0.37557029724121094,0.012062549591064453,0.011441707611083984,17,0.9721311475409836,0.0,0.0,1,0,0
UnionWin c=1.5,4267,0.3699071407318115,0.3832881450653076,0.01191401481628418,0.011714935302734375,18,0.9704918032786886,1.0,1.0,0,0,0
UnionWin c=1.5,6363,0.37141966819763184,0.37143611907958984,0.01116490364074707,0.01118159294128418,16,0.9737704918032787,1.0,1.0,0,0,0
UnionWin c=1.5,867,0.3731801509857178,0.3656010627746582,0.010882377624511719,0.01058506965637207,16,0.9737704918032787,1.0,1.0,0,0,0
UnionWin c=1.5,4210,0.4114723205566406,0.3798999786376953,0.016241788864135742,0.016632556915283203,23,0.9622950819672131,0.0,0.0,1,0,0
UnionWin c=3.0,7523,0.3905818462371826,0.3697085380554199,0.025275230407714844,0.024744510650634766,33,0.9459016393442623,0.0,0.0,1,0,0
UnionWin c=3.0,4267,0.3716559410095215,0.4125990867614746,0.026579618453979492,0.026451587677001953,34,0.9442622950819672,1.0,1.0,0,0,0
UnionWin c=3.0,6363,0.3981649875640869,0.3799910545349121,0.022160053253173828,0.02202892303466797,31,0.9491803278688524,1.0,1.0,0,0,0
UnionWin c=3.0,867,0.5128264427185059,0.41910886764526367,0.026406288146972656,0.02570343017578125,33,0.9459016393442623,1.0,1.0,0,0,0
UnionWin c=3.0,4210,0.4009075164794922,0.38342905044555664,0.02903890609741211,0.029523134231567383,40,0.9344262295081968,0.0,0.0,1,0,0
UnionWin c=5.0,7523,0.3766953945159912,0.38042211532592773,0.03753972053527832,0.03642916679382324,55,0.9098360655737705,0.0,0.0,1,0,0
UnionWin c=5.0,4267,0.379439115524292,0.3817753791809082,0.03396296501159668,0.03549003601074219,53,0.9131147540983606,1.0,1.0,0,0,0
UnionWin c=5.0,6363,0.3687400817871094,0.37508702278137207,0.03515267372131348,0.06375432014465332,54,0.9114754098360656,1.0,1.0,0,0,0
UnionWin c=5.0,867,0.3716301918029785,0.40477514266967773,0.04155135154724121,0.04008841514587402,58,0.9049180327868852,1.0,1.0,0,0,0
